uniprotAC.tf,uniprotAC.target,otherAC.tf,otherAC.target,name.tf,name.target,detection.method,pubmedAC,organism,source.database
A0A023IRJ6,P38141,-,852542,ALKCYP,THI2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38157,-,852600,ALKCYP,MAL33,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38361,-,852599,ALKCYP,PHO89,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25602,-,,ALKCYP,YCH6_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25601,-,,ALKCYP,TY5B,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P17967,-,850314,ALKCYP,PDI1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P17709,-,850317,ALKCYP,GLK1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25572,-,850315,ALKCYP,YCE2_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25350,-,,ALKCYP,YCP6_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P08679,-,850361,ALKCYP,CIT2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25371,-,850369,ALKCYP,ADP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q3E7Z8,-,1466398,ALKCYP,YC204_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32903,-,850389,ALKCYP,PMP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25345,-,850388,ALKCYP,SLM5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25623,-,850396,ALKCYP,SYP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P06367,-,850397,ALKCYP,RPS14A,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25356,-,850398,ALKCYP,BPH1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25360,-,850403,ALKCYP,PHO87,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q96VG8,-,,ALKCYP,YC038_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25637,-,850423,ALKCYP,YIH1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25337,-,850427,ALKCYP,BUD31,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25364,-,850429,ALKCYP,HCM1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25346,-,850462,ALKCYP,GIT1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q07788,-,851348,ALKCYP,COS7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32837,-,851317,ALKCYP,UGA4,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39009,-,851457,ALKCYP,DUN1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12191,-,851459,ALKCYP,BUG1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P52290,-,851537,ALKCYP,DIA3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0C5L6,-,13393611,ALKCYP,YD022_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q00055,-,851539,ALKCYP,GPD1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12023,-,,ALKCYP,YD011_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12210,-,851553,ALKCYP,YD009_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40317,-,851569,ALKCYP,SOK1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P13045,-,851572,ALKCYP,GAL3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,A0A023PZ99,-,,ALKCYP,YD008_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P07284,-,851587,ALKCYP,SES1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12421,-,851585,ALKCYP,ATG31,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12392,-,851600,ALKCYP,TY2A-DR1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12472,-,851599,ALKCYP,TY2B-DR1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q6Q5X2,-,851604,ALKCYP,YD34B_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P14843,-,851605,ALKCYP,ARO3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0C289,-,851602,ALKCYP,YD34A_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q03201,-,851611,ALKCYP,RSM10,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P13587,-,851610,ALKCYP,ENA1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12355,-,851625,ALKCYP,PST1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P14682,-,851624,ALKCYP,CDC34,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38954,-,851644,ALKCYP,IPT1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38956,-,851645,ALKCYP,SNF11,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q03833,-,851670,ALKCYP,GIS1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q03964,-,851750,ALKCYP,TY1A-DR2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P11075,-,851748,ALKCYP,SEC7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32501,-,851797,ALKCYP,GCD6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12441,-,851795,ALKCYP,TY1A-DR3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q99231,-,851794,ALKCYP,TY1B-DR3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12331,-,851855,ALKCYP,YFAS1_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,O74302,-,851853,ALKCYP,TY1A-DR4,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q07793,-,851852,ALKCYP,TY1B-DR4,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P35198,-,851870,ALKCYP,MTH1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q05637,-,851875,ALKCYP,PHM6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q06629,-,851889,ALKCYP,HDA2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38992,-,851891,ALKCYP,SUR2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0CX65,-,851913;853069;855071;856907,ALKCYP,TY1A-DR5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0C2I2,-,851914,ALKCYP,TY1B-DR5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q06667,-,851910,ALKCYP,IPK1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39003,-,851944,ALKCYP,HXT6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q06325,-,851950,ALKCYP,YPS7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q3E6R5,-,851989,ALKCYP,YD381_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P02400,-,851990,ALKCYP,RPP2B,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P52488,-,851998,ALKCYP,UBA2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P06844,-,852001,ALKCYP,SPT3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P34087,-,852013,ALKCYP,RPB7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q04182,-,852015,ALKCYP,PDR15,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P36973,-,852051,ALKCYP,APT2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P87270,-,,ALKCYP,YD442_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q04110,-,852057,ALKCYP,ECM11,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q02354,-,852060,ALKCYP,UTP6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0CX55,-,852061;854982,ALKCYP,RPS18A,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39904,-,852095,ALKCYP,VPS52,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P27809,-,852094,ALKCYP,KRE2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P11491,-,852092,ALKCYP,PHO8,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P19358,-,852113,ALKCYP,SAM2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q12306,-,852122,ALKCYP,SMT3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P17695,-,852124,ALKCYP,GRX2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P48813,-,852121,ALKCYP,GNP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q04401,-,852123,ALKCYP,SDH7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40494,-,854713,ALKCYP,PRK1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40493,-,854711,ALKCYP,BMT5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40510,-,854736,ALKCYP,SER33,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40188,-,854753,ALKCYP,RGI2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40520,-,,ALKCYP,YIF9_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40522,-,854755,ALKCYP,VHR1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40523,-,854756,ALKCYP,YIF5_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40549,-,854801,ALKCYP,MNT3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39975,-,856637,ALKCYP,RMD6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39984,-,856654,ALKCYP,HAT2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39983,-,856653,ALKCYP,YEG7_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32617,-,856667,ALKCYP,IES6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P37303,-,856665,ALKCYP,GLY1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32618,-,856668,ALKCYP,YEF3_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32616,-,,ALKCYP,YEF5_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32629,-,856675,ALKCYP,ANP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P24279,-,856680,ALKCYP,MCM3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q02217,-,,ALKCYP,YE034_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32630,-,856676,ALKCYP,UTR5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P25515,-,856686,ALKCYP,VMA3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39990,-,856687,ALKCYP,SNU13,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,O74700,-,856693,ALKCYP,TIM9,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P0C5M6,-,,ALKCYP,YE020_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40000,-,,ALKCYP,YEB0_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40001,-,,ALKCYP,YEA8_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,A0A023PZF2,-,,ALKCYP,YE009_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P03069,-,856709,ALKCYP,GCN4,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40002,-,856711,ALKCYP,MIT1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39106,-,856718,ALKCYP,MNN1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39925,-,856737,ALKCYP,AFG3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40015,-,856739,ALKCYP,ISC1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40024,-,856758,ALKCYP,ARB1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40025,-,856759,ALKCYP,PHM8,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39954,-,856766,ALKCYP,SAH1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40035,-,856779,ALKCYP,PIC2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P00498,-,856782,ALKCYP,HIS1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40047,-,856804,ALKCYP,ALD5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40046,-,856803,ALKCYP,VTC1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40045,-,856802,ALKCYP,TDA2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,A0A023PXJ3,-,,ALKCYP,YE76A_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40048,-,856807,ALKCYP,PTP3,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40062,-,,ALKCYP,YES7_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39967,-,856835,ALKCYP,UBP9,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32634,-,856869,ALKCYP,PMD1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32598,-,856870,ALKCYP,GLC7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40083,-,856877,ALKCYP,YEW7_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40096,-,856904,ALKCYP,BUR6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40095,-,856903,ALKCYP,YEY8_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P39961,-,856933,ALKCYP,YE14_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40100,-,856934,ALKCYP,PUG1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43539,-,850479,ALKCYP,YFG5_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43540,-,850480,ALKCYP,YFG4_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43542,-,850482,ALKCYP,COS4,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43541,-,,ALKCYP,YFG3_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43576,-,,ALKCYP,YFB9_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43575,-,850524,ALKCYP,PAU5,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43585,-,850544,ALKCYP,VTC2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P43591,-,850558,ALKCYP,YFH7,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53128,-,852752,ALKCYP,MET13,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P38633,-,852750,ALKCYP,SOH1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P52868,-,852749,ALKCYP,CWC23,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P21827,-,852782,ALKCYP,SRM1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40957,-,852794,ALKCYP,MAD1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32435,-,852791,ALKCYP,MF(ALPHA)2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P07264,-,852875,ALKCYP,LEU1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53194,-,,ALKCYP,BRP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P27882,-,852916,ALKCYP,ERV1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P28737,-,852915,ALKCYP,MSP1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q8TGN9,-,8656591,ALKCYP,NAG1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53218,-,852918,ALKCYP,POP6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P40989,-,852920,ALKCYP,GSC2,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P31787,-,852925,ALKCYP,ACB1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53045,-,852951,ALKCYP,ERG25,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53245,-,,ALKCYP,YG2C_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,Q8TGN8,-,,ALKCYP,YG068_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53243,-,852958,ALKCYP,YG2A_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53262,-,852998,ALKCYP,VOA1,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P53263,-,,ALKCYP,YG2U_YEAST,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
A0A023IRJ6,P32943,-,853003,ALKCYP,CLB6,chromatin immunoprecipitation assay,27924024,Saccharomyces cerevisiae,GTRD
