Protein name	Uniprot ID	NCBI Gene ID	Function
Cabin1	G3X8Q1	104248	target gene
Pxmp2	P42925	19301	target gene
Nr1h3	Q9Z0Y9	22259	transcription factor and target gene
Lonrf2	B2RT44	381338	target gene
Trav16	A0A075B653	-	target gene
Rasal2	D3YWZ9	-	target gene
Agtpbp1	Q641K1	67269	target gene
Mcpt2	P15119	17225	target gene
Gm12258	Q3UFF8	-	target gene
Irak1bp1	Q9ESJ7	65099	target gene
Zkscan2	F7BPE8	-	target gene
Slc26a3	Q9WVC8	13487	target gene
As3mt	Q91WU5	57344	target gene
Myl3	P09542	17897	target gene
Dido1	Q8C9B9	23856	target gene
Mansc4	Q3UU94	545893	target gene
Snrpd1	P62315	20641	target gene
Plagl1	Q9JLQ4	22634	target gene
Rabif	Q91X96	98710	target gene
Traf7	H3BKC9	-	target gene
Nexn	Q7TPW1	68810	target gene
Ttc16	E9PZ84	338348	target gene
Rps6kl1	Q8R2S1	238323	target gene
Zmynd10	Q99ML0	114602	target gene
Tll1	Q62381	-	target gene
Prl2c1	Q5SVM0	666317	target gene
Atp5mf	P56135	57423	target gene
Scn8a	Q9WTU3	20273	target gene
Acot12	Q9DBK0	74156	target gene
Med7	Q9CZB6	66213	target gene
Eno4	Q8C042	226265	target gene
Muc2	A0A087WSP1	-	target gene
Btbd19	S4R1I0	-	target gene
Rec8	Q8C5S7	56739	target gene
March10	E9PX79	632687	target gene
Fgf14	A0A0R4J063	14169	target gene
Uggt2	E9Q4X2	66435	target gene
Olfr1085	Q7TR64	258583	target gene
Birc5	O70201	11799	target gene
Foxm1	A0A0N4SVY9	-	target gene
Cit	D3Z1U0	12704	target gene
Cyp4a12a	Q91WL5	277753	target gene
Stox1	B2RQL2	216021	target gene
Pcca	Q91ZA3	110821	target gene
Tnip3	A0A1D5RLN9	-	target gene
Katna1	E9PZI6	23924	target gene
Golgb1	Q3U286	-	target gene
Rpap1	Q80TE0	68925	target gene
Ppp4r1	E9PX53	70351	target gene
Ankrd60	A6PWV4	-	target gene
Tff2	Q9QX97	21785	target gene
Anks1b	S4R1G5	-	target gene
Efcab6	Q6P1E8	77627	target gene
Rab11fip1	Q9D620	75767	target gene
I0C0044D17Rik	A6PWL3	-	target gene
Vmn2r99	H3BK37	665376	target gene
Slc37a2	Q9WU81	56857	target gene
Cyp8b1	A0A0R4J0N7	13124	target gene
4930516K23Rik	Q8VGY1	259081	target gene
Rexo5	Q7TSF9	434234	target gene
Usp42	B2RQC2	76800	target gene
Kcnmb1	Q5SQK1	16533	target gene
Sirpb1c	E9PZD0	-	target gene
Mcm8	Q9CWV1	66634	target gene
Itga11	A0A0B4J1F0	319480	target gene
Atg4b	A0A0R4J065	66615	target gene
Slc4a1ap	A0A0J9YTU2	-	target gene
Mfhas1	Q3V1N1	52065	target gene
Dyrk2	Q5U4C9	69181	target gene
K132L_MOUSE	Q3UZV7	231014	target gene
COA4	Q8BT51	68185	target gene
Fgf3	Q0VG15	14174	target gene
Plpp1	Q61469	19012	target gene
Osgin1	D3YYR6	-	target gene
Anxa4	P97429	11746	target gene
Slc16a11	Q5NC32	216867	target gene
Kcnk13	Q8R1P5	217826	target gene
Olfr1411	Q8VFC4	258483	target gene
Gm28041	F2Z406	-	target gene
Gm5965	D3Z724	-	target gene
Abca4	O35600	11304	target gene
1700003H04Rik	J3QNU0	-	target gene
Nptn	P97300	20320	target gene
Pde8b	E9Q4S1	-	target gene
Cspp1	B2RX88	211660	target gene
Cdc14b	Q6PFY9	218294	target gene
Pear1	Q8VIK5	73182	target gene
Olfr175-ps1	A0A140T8K4	259004	target gene
Zc3hc1	Q80YV2	232679	target gene
Apob	E9Q414	238055	target gene
Megf6	B1ASH4	-	target gene
Cfap45	E0CXX5	-	target gene
Slc15a4	Q91W98	100561	target gene
Adam23	Q9R1V7	23792	target gene
Rfx7	Q3TDE2	-	target gene
Prrx2	Q06348	20204	transcription factor
Dffb	O54788	13368	target gene
Adamts17	A0A140LJ54	-	target gene
Soga1	A2ACV6	320706	target gene
Znf821	Q6PD05	75871	target gene
4932415D10Rik	E9Q0G0	-	target gene
Dlec1	E9QNI0	-	target gene
Rps12	A0A1W2P810	-	target gene
Dsp	E9Q557	109620	target gene
Pcdhb22	Q52KQ3	-	target gene
Klhl2	Q8JZP3	77113	target gene
Asxl3	Q8C4A5	211961	target gene
Tdrd7	Q8K1H1	100121	target gene
Begain	F8WIG2	380785	target gene
Znf250	Q7TNU6	239546	target gene
Wwox	Q91WL8	80707	target gene
Helq	Q2VPA6	191578	target gene
Olfr806	Q8VFI2	258546	target gene
Lca5	G5E887	75782	target gene
Sall3	Q62255	20689	target gene
Cd209b	Q8CJ91	69165	target gene
Syne3	Q4FZC9	212073	target gene
Eif4b	Q8BGD9	75705	target gene
Sfxn5	Q925N0	94282	target gene
Epsti1	Q8VDI1	108670	target gene
Pcbp4	A0A0R4J044	59092	target gene
Ppfia1	B2RXW8	233977	target gene
Phf6	Q9D4J7	70998	target gene
Msh3	A0A087WP45	-	target gene
Tcerg1	Q8CGF7	56070	target gene
Olfr654	Q7TRP9	-	target gene
Gpatch2	Q7TQC7	67769	target gene
Nlrp2	Q8C6M5	-	target gene
Stard6	P59096	170461	target gene
Cap2	Q9CYT6	67252	target gene
Nipsnap3b	Q9CQE1	66536	target gene
Tnfsf4	P43488	22164	target gene
Theg	Q9JMB1	21830	target gene
Psmc4	P54775	23996	target gene
Fosb	P13346	14282	transcription factor and target gene
Nrros	Q8BMT4	224109	target gene
Msh3	A0A087WSR8	-	target gene
Cacna2d2	Q6PHS9	56808	target gene
Best2	A0A0R4J0P0	212989	target gene
Creg1	O88668	433375	target gene
Ankrd50	A6H6J9	-	target gene
Ptn	P63089	19242	target gene
Rac1	P63001	19353	target gene
Prpf40b	D3Z4N6	-	target gene
Tor4a	Q8BH02	227612	target gene
Kcne1	P23299	16509	target gene
Suds3	Q8BR65	71954	target gene
CD019_MOUSE	Q99K99	76261	target gene
Agps	H3BIY5	-	target gene
Ctsf	Q9R013	56464	target gene
Scly	M0QWF1	-	target gene
Triml2	E9PW10	622117	target gene
Gm17728	E9Q5K2	-	target gene
Tent5d	B1ATX6	213449	target gene
Klhl5	A0A0G2JEQ1	-	target gene
Hoxb3	P09026	15410	transcription factor and target gene
Snx2	Q9CWK8	67804	target gene
Lcn11	A2BHR2	227630	target gene
Klk1b24	Q61754	16617	target gene
Ccdc88b	Q4QRL3	78317	target gene
Inpp4a	A0A0A6YXS5	-	target gene
Gp1bb	P56400	14724	target gene
Igfbpl1	Q80W15	75426	target gene
Samhd1	Q60710	56045	target gene
Mppe1	Q80XL7	225651	target gene
Vmn1r219	Q8R271	171272	target gene
H2-M2	Q6W9J6	14990	target gene
Ei24	V9GXH2	-	target gene
Muc2	A0A087WP72	-	target gene
Czib	Q8BHG2	74098	target gene
Ik	Q9Z1M8	24010	target gene
Bhlhe23	Q8BGW3	140489	target gene
Cog4	Q8R1U1	102339	target gene
Dmkn	Q6P253	73712	target gene
Gas2l3	A0A1W2P6G4	-	target gene
Sptbn4	E9PX29	80297	target gene
Fubp3	A0A0A6YVV5	-	target gene
Vmn1r53	A2RS76	113853	target gene
Lrrc8a	Q80WG5	241296	target gene
Bola1	Q9D8S9	69168	target gene
Pou2f3	P31362	-	transcription factor
Sptlc3	Q8BG54	228677	target gene
Parp8	Q3UD82	52552	target gene
Upf3b	Q3ULL6	68134	target gene
Lysmd4	Q8CC84	75099	target gene
D430041D05Rik	A0A2R8VHF1	241589	target gene
Tspan15	F7BWT7	70423	target gene
Pirt	Q8BFY0	193003	target gene
Helz	Q6DFV5	78455	target gene
Zfp11	P10751	22648	target gene
4930432K21Rik	A0A0R4J144	74666	target gene
Shc4	Q6S5L9	271849	target gene
CL065_MOUSE	Q80VP5	72650	target gene
Tra2a	A0A0N4SVC2	101214	target gene
3110018I06Rik	Q9CXS0	-	target gene
Itprip	Q3TNL8	414801	target gene
Traip	Q8VIG6	22036	target gene
Pja2	Q80U04	224938	target gene
Pdgfrb	E9QPE2	18596	target gene
Tfap2a	A0A286YCU0	21418	target gene
Plk3	Q6P571	12795	target gene
Fam221b	Q8C627	242408	target gene
Elovl7	Q9D2Y9	74559	target gene
Sgsm1	Q8BPQ7	52850	target gene
Smurf2	A2A5Z6	66313	transcription factor and target gene
Vmn2r7	E9PYL5	-	target gene
Olfr1118	A0A1L1STN9	-	target gene
Tex14	Q7M6U3	83560	target gene
Grik1	F6Z3M4	-	target gene
Arrb1	Q8BWG8	109689	target gene
Igkv6-29	A0A075B5N2	-	target gene
Fgfr4	Q03142	14186	target gene
-	A0A140T8V5	-	target gene
1700129C05Rik	Q9CQ77	67932	target gene
Ppm1n	Q8BGL1	232941	target gene
Ect2l	F7CKP4	100045792	target gene
Trpv6	Q91WD2	64177	target gene
Sirpa	A2ANC1	-	target gene
Glipr1l1	Q9DAG6	69286	target gene
Gm11042	F6VZP0	-	target gene
Ppif	Q99KR7	105675	target gene
Znf704	Q9ERQ3	170753	target gene
Slc16a2	O70324	20502	target gene
Klrb1a	A0A0N4SWH4	-	target gene
Sectm1a	A2ABP7	-	target gene
Mrgprb5	Q91ZB9	404239	target gene
Eef1d	Q80T06	66656	target gene
Acy1	A0A1L1SRL5	-	target gene
Hivep3	A2A884	16656	target gene
Hemgn	Q9ERZ0	93966	target gene
Katna1	G3UX83	-	target gene
Tuba8	Q9JJZ2	53857	target gene
Nectin3	Q9JLB9	58998	target gene
D930048N14Rik	B0QZN8	-	target gene
Taldo1	Q93092	21351	target gene
Fancm	Q8BGE5	104806	target gene
Agfg1	Q8K2K6	15463	target gene
Ifi27	Q70LM9	52668	target gene
C530008M17Rik	E9Q3Y7	320827	target gene
Mkx	Q8BIA3	210719	transcription factor
E330034G19Rik	Q3UWX6	105418	target gene
-	A0A0N4SV60	-	target gene
Pde4dip	Q80YT7	83679	target gene
Zfp874a	A0A286YD18	-	target gene
Tead1	E9PZ73	21676	target gene
Fbxo5	Q7TSG3	67141	target gene
Ptprr	Q62132	19279	target gene
Tppp3	Q9CRB6	67971	target gene
Dand5	Q76LW6	23863	target gene
Sept9	Q80UG5	53860	target gene
Igsf8	A0A0A6YVX9	-	target gene
Farsa	Q8C0C7	66590	target gene
Gpr158	Q8C419	241263	target gene
Prss48	Q14B25	368202	target gene
Mybph	P70402	53311	target gene
Rad18	Q9QXK2	58186	target gene
Ube2k	P61087	53323	transcription factor and target gene
Lefty1	Q64280	13590	target gene
Olfr1507	A0A0U1RNW4	-	target gene
Tenm3	D3YW49	-	target gene
Slc9a2	Q3TM63	-	target gene
Gpr157	Q8C206	269604	target gene
Pcmt1	E9PWE0	18537	target gene
Srbd1	F8WGW3	78586	target gene
Mms22l	B1AUR6	212377	target gene
Srrm1	E9QKA4	-	target gene
Msh2	P43247	17685	target gene
Crygs	O35486	12970	target gene
Cntnap1	O54991	53321	target gene
Ctsa	P16675	19025	target gene
Tomm40	Q9QYA2	53333	target gene
Sumf2	Q8BPG6	67902	target gene
Lrba	A0A0A6YXX3	80877	target gene
Gm49948	D3YXH0	-	target gene
Ciao2a	Q9DCL2	68250	target gene
Fam210b	Q9D8B6	67017	target gene
Tlx3	O55144	27140	transcription factor and target gene
Jak3	Q62137	16453	target gene
Thbd	P15306	21824	target gene
Farsb	Q9WUA2	23874	target gene
Foxe3	Q9QY14	30923	target gene
Mtm1	Q9Z2C5	17772	target gene
Rasd2	P63032	75141	target gene
Ecel1	Q9JMI0	13599	target gene
Fancl	Q9CR14	67030	target gene
Slc44a3	Q921V7	213603	target gene
Crebzf	Q91ZR3	233490	transcription factor and target gene
Lpcat1	Q3TFD2	210992	target gene
Psen2	D3Z0X1	-	target gene
Flrt2	Q8BLU0	399558	target gene
Polr3g	Q6NXY9	67486	target gene
Relt	Q8BX43	320100	target gene
Cyp4a12b	B0G0Y1	13118	target gene
Lrrcc1	E9Q8Q7	-	target gene
Naprt	Q8CC86	223646	target gene
Scn2a	B1AWN6	110876	target gene
Tmem116	G3X9M9	77462	target gene
Rsu1	A0A0A6YWZ2	-	target gene
Sorcs1	E9QQ02	-	target gene
Iws1	Q8C1D8	73473	target gene
Dpp10	D3Z5I7	269109	target gene
Dbx1	P52950	13172	target gene
Gbp2	Q9Z0E6	14469	target gene
Frmpd1	A2AKB4	666060	target gene
Kif6	E9PX57	319991	target gene
Gm5592	Q3V0A6	434172	target gene
Kif5a	P33175	16572	target gene
Clasp1	A0A087WS18	76707	target gene
Skint6	A7XUZ6	230622	target gene
Cpd	O89001	12874	target gene
Samsn1	P57725	67742	target gene
Actl11	Q9D5V1	67722	target gene
Sccpdh	Q8R127	109232	target gene
Nkx3-2	P97503	12020	transcription factor and target gene
Dipk1c	Q8BQT2	240479	target gene
Tfdp2	A0A1B0GXK0	-	target gene
Rps6ka6	B1B0X4	-	target gene
Rps6kc1	Q8BLK9	320119	target gene
Grip2	G3XA20	243547	target gene
Bcap29	Q61334	12033	target gene
Kidins220	A0A1Y7VNF8	-	target gene
Mthfd1l	Q3V3R1	270685	target gene
Pkd2	O35245	18764	target gene
Glt8d2	F6U4D1	-	target gene
Tox2	E9Q0B9	269389	target gene
Gdf11	Q9Z1W4	14561	target gene
Plxna2	P70207	18845	target gene
Adam22	Q9R1V6	11496	target gene
Sclt1	G5E861	67161	target gene
Rgs7bp	Q8BQP9	52882	target gene
Scn8a	A0A0J9YTW2	-	target gene
Znf668	Q8K2R5	244219	target gene
Lexm	A2AVQ5	242602	target gene
Ltb4r	O88855	16995	target gene
Csf1	P07141	12977	transcription factor and target gene
Ephb4	P54761	13846	target gene
Znf32	Q80V23	232337	target gene
Tll1	G3X9F5	21892	target gene
Obscn	F6X8F4	-	target gene
Opn5	Q6VZZ7	353344	target gene
Pcf11	G3X9Z4	74737	target gene
Pkp2	Q9CQ73	67451	target gene
Bbs10	Q9DBI2	71769	target gene
Lpp	Q8BFW7	210126	target gene
Srf	Q9JM73	20807	transcription factor and target gene
4932411N23Rik	Q8C0S0	237029	target gene
Lypd6	Q8BPP5	320343	target gene
Stat1	P42225	-	transcription factor and target gene
Avp	P35455	11998	target gene
Gm10941	Q3TNV0	-	target gene
Thrb	P37242	21834	transcription factor and target gene
Irs2	P81122	384783	target gene
Plekhb1	Q9QYE9	27276	target gene
Olfr1173	Q7TR24	404329	target gene
Ankmy1	A0A1D5RM06	-	target gene
Ptp4a3	Q9D658	19245	target gene
Oprd1	P32300	18386	target gene
Mxd1	A0A0N4SVF6	-	target gene
Tnnt3	A2A6J1	21957	target gene
Prss58	Q8BW11	232717	target gene
Rexo1	Q7TT28	66932	target gene
Olfr747	E9PXH6	258264	target gene
R3hdm1	E9Q9Q2	226412	target gene
Slco4a1	Q8K078	108115	target gene
Prom1	Q8CDK8	19126	target gene
Daw1	D6REG5	-	target gene
4930544L04Rik	Q3V0D6	-	target gene
Mocs2	E9PUX1	-	target gene
Hs6st3	Q9QYK4	50787	target gene
Smr2	O35979	20600	target gene
Slc9a3	G3X939	105243	target gene
Apba2	P98084	11784	target gene
Lrrcc1	G5E8Y2	71710	target gene
Trim30d	Q3TNW3	209387	target gene
Ccdc146	G3X8Z3	-	target gene
Traf7	H3BJF9	-	target gene
Nr1h5	A0A0G2JG67	381463	target gene
Itpripl1	A2ASA8	73338	target gene
Zgrf1	Q0VGT4	71643	target gene
Phox2a	Q62066	11859	transcription factor and target gene
Ramac	Q9CQY2	67148	target gene
Prl6a1	O35257	19111	target gene
Glrx3	Q9CQM9	30926	target gene
Olfr412	Q7TRW7	258153	target gene
Bms1	Q6PGF5	213895	target gene
Anks1b	S4R2B3	-	target gene
Clec4b2	Q67DU8	381809	target gene
Dnaja3	Q99M87	83945	target gene
Ca15	Q99N23	80733	target gene
Ralgapb	A2ACC6	228850	target gene
Akp3	F8VQM0	11648	target gene
Eif4ebp2	P70445	13688	target gene
Rarres1	F6ZIS7	109222	target gene
Nop16	Q9CPT5	28126	target gene
Esrra	O08580	26379	transcription factor and target gene
Csnk1g3	Q8C4X2	70425	target gene
Vmn2r30	K7N5W1	22306	target gene
Olfr285	Q7TS17	257943	target gene
Ppm1a	P49443	19042	target gene
Ano10	Q8BH79	102566	target gene
Serac1	Q3U213	321007	target gene
Zmym1	Q3TJB1	68310	target gene
Fdps	Q920E5	110196	target gene
Tut7	A0A286YDD7	-	target gene
Arl5b	Q8BLF9	-	target gene
Slc22a1	O08966	20517	target gene
D430041D05Rik	A0A2R8VKG2	-	target gene
Cts3	A0A286YE21	-	target gene
Nup85	Q8R480	445007	target gene
Fam110c	Q8VE94	104943	target gene
Hps6	Q8BLY7	20170	target gene
Rpl10l	P86048	238217	target gene
Ccdc141	A2AST1	-	target gene
Ankrd36	Q5QNR3	-	target gene
Myh10	Q61879	77579	target gene
Acy1	A0A0R4J050	109652	target gene
Ppip5k1	A2ARP1	327655	target gene
Fam149b1	Q6NSV7	105428	target gene
Pde3a	Q9Z0X4	54611	target gene
Tmem273	A0A2I3BRN7	-	target gene
Lrrc32	G3XA59	434215	target gene
Dot1l	Q6XZL7	-	transcription factor
Tcaim	G3X983	382117	target gene
Ascc1	Q9D8Z1	69090	target gene
Mfsd8	Q8BH31	72175	target gene
Capzb	P47757	12345	target gene
Dennd4c	A6H8H2	329877	target gene
Ets1	P27577	23871	transcription factor and target gene
Muc1	Q02496	17829	target gene
Aatk	B1AZF3	11302	target gene
Naa15	A0A0A6YW80	-	target gene
Slc16a1	P53986	20501	target gene
Arhgap21	F6WQR2	-	target gene
Carmil1	Q6EDY6	68732	target gene
Ros1	Q78DX7	19886	target gene
Tbc1d5	Q80XQ2	72238	target gene
Olfr736	Q8VFT6	258660	target gene
Cngb1	V9GXN8	-	target gene
Zbtb40	A0A1W2P800	-	target gene
Dhrs1	Q99L04	52585	target gene
Csf3	P09920	12985	target gene
Dap3	Q9ER88	65111	target gene
BC024139	Q8BVJ3	271278	target gene
Iqub	Q8CDK3	214704	target gene
Tfdp1	Q08639	21781	transcription factor and target gene
Hmcn2	A2AJ76	-	target gene
Hdac2	Q8BQ10	-	target gene
BC035044	E0CXF8	232406	target gene
Vim	P20152	22352	target gene
Shroom4	Q1W617	208431	target gene
Klf9	Q8CEC4	16601	target gene
Btnl1	Q7TST0	100038862	target gene
Cotl1	Q9CQI6	72042	target gene
Lrrc40	D6RFC5	-	target gene
Lrp6	A0A0N4SUL9	-	target gene
Axin1	Q14DJ8	12005	target gene
Triobp	Q99KW3	110253	target gene
Rasa1	E9PYG6	218397	target gene
Slc25a27	Q9D6D0	74011	target gene
Calcoco1	Q8CGU1	67488	target gene
Col6a5	A0A140T8T7	-	target gene
Ttll9	A2APC3	74711	target gene
Memo1	Q91VH6	76890	target gene
Robo4	A0A1L1SSV2	-	target gene
Ttc9	Q3V038	69480	target gene
Plekha5	A0A0N4SWC0	-	target gene
Asb4	Q9WV71	65255	target gene
Lrrc75a	Q7TSF4	192976	target gene
Catsperd	E9Q9F6	106757	target gene
Slc23a2	Q9EPR4	54338	target gene
Fcrl1	E9Q958	229499	target gene
Lamp3	Q7TST5	239739	target gene
Mapk9	Q9WTU6	26420	target gene
Tnnt3	Z4YKG3	21957	target gene
Pigt	Q8BXQ2	78928	target gene
Vmn1r212	Q8R268	171275	target gene
Zc3h7a	D3Z5I3	-	target gene
Znf536	Q8K083	243937	target gene
Capn6	O35646	12338	target gene
Plcb4	V9GXQ9	-	target gene
Zfyve16	Q80U44	218441	target gene
Tsga13	Q9DA17	116732	target gene
Cmtm8	Q9CZR4	70031	target gene
Tmem209	Q8BRG8	72649	target gene
Rab20	P35295	19332	target gene
Pcdhb21	Q91V48	93892	target gene
Zfp600	A2A7V0	667666	target gene
Pld1	D3Z2V2	-	target gene
Phf21a	F6U6L3	-	target gene
Pde1a	Q9JLL9	18573	target gene
Srpk1	O70551	20815	target gene
Slc35d1	A2AKQ0	242585	target gene
Olfr518	Q8VEW1	258303	target gene
Olfr266	Q8VFC3	258482	target gene
Rdh12	Q8BYK4	77974	target gene
Ankrd2	Q9WV06	56642	target gene
Sh2d6	E9QJU1	-	target gene
Ighv15-2	A0A0A6YX72	-	target gene
Chst8	Q8BQ86	68947	target gene
CB081_MOUSE	Q9DAQ4	71837	target gene
Zmat5	Q9CQR5	67178	target gene
Fgf22	Q9ESS2	67112	target gene
Pgbd5	D3YZI9	209966	target gene
Fam57b	Q7TNV1	68952	target gene
Gapvd1	Q6PAR5	66691	target gene
Nxpe2	A0A0R4J0E5	78252	target gene
Sncaip	E9Q4E2	67847	target gene
Obox1	G3UX03	-	target gene
2010109A12Rik	Q9D875	75610	target gene
Fam184a	A0A1W2P7N4	-	target gene
Ralyl	Q8BTF8	76897	target gene
Syt2	Q9JM87	-	target gene
Igk	I6L978	-	target gene
Gm14322	L7N246	-	target gene
Cdkn1a	P39689	12575	target gene
Fam227b	Q9D518	75823	target gene
Cd55	Q61475	13136	target gene
Utp23	Q9CX11	78581	target gene
Abcg8	Q9DBM0	67470	target gene
Zfp236	S4R1D8	-	target gene
Wnk2	E9QMI9	75607	target gene
Tnrc18	D3YV17	231861	target gene
Etnk2	A7MCT6	214253	target gene
Osbpl1a	Q91XL9	64291	target gene
Gfi1b	O70237	14582	transcription factor and target gene
Phgr1	Q8K0G7	53906	target gene
Myo1d	Q5SYD0	338367	target gene
Map1s	Q8C052	270058	target gene
Gm10881	P01642	-	target gene
Igh	Q8VEA0	-	target gene
Cnga1	P29974	12788	target gene
Cs	Q9CZU6	12974	target gene
Grm3	Q9QYS2	108069	target gene
Nkpd1	A0A1L1SVH6	-	target gene
Tmem225	Q9D9S2	75667	target gene
Usp32	F6XDW8	-	target gene
Rnf169	E9Q7F2	108937	target gene
Mettl21e	Q8CDZ2	403183	target gene
Olfr9	Q60885	18373	target gene
Fbxw4	Q9JMJ2	30838	target gene
Rragc	Q99K70	54170	target gene
Adgrb1	Q3UHD1	107831	target gene
Bmt2	Q8BXK4	101148	target gene
Dlk1	Q925U3	13386	target gene
Ckb	Q04447	12709	target gene
Bcas1	Q80YN3	76960	target gene
-	E9QPT7	-	target gene
Naaa	Q9D7V9	67111	target gene
Spata5	Q3UMC0	57815	target gene
Chia	Q91XA9	81600	target gene
Ccdc9	D3Z1Q6	-	target gene
Bcl2l1	Q64373	12048	target gene
CJ143_MOUSE	Q9CX25	77252	target gene
Atp7b	Q64446	11979	target gene
Catsper4	Q8BVN3	329954	target gene
Hsd3b6	O35469	15497	target gene
Pcna	P17918	18538	target gene
Aph1a	Q8BVF7	226548	target gene
Tom1l1	Q923U0	71943	target gene
Izumo4	D3Z690	71564	target gene
Fut7	Q11131	14347	target gene
Ric8b	Q80XE1	237422	target gene
Ttc39b	Q8BYY4	69863	target gene
Tmf1	B9EKI3	232286	target gene
Gng4	P50153	14706	target gene
Fmc1	Q9CR13	66117	target gene
Klrk1	O54709	27007	target gene
Zfp623	Q9CY99	78834	target gene
Msrb2	Q78J03	76467	target gene
Cacna1s	F7CNJ1	-	target gene
Sel1l3	Q80TS8	231238	target gene
Jak3	A0A0R4J0R7	16453	target gene
Tfdp2	Q64163	-	target gene
Nme5	Q99MH5	75533	target gene
Hoxd13	P70217	15433	transcription factor and target gene
Fzd2	Q9JIP6	57265	target gene
Mtus1	A0A0R4J147	102103	target gene
Taf4b	G5E8Z2	72504	transcription factor and target gene
Itgae	Q60677	16407	target gene
Pik3c2g	A0A1W2P6I9	-	target gene
Wdr20	Q3UWE6	69641	target gene
Sh3pxd2a	O89032	14218	target gene
Pmaip1	Q9JM54	58801	target gene
9030025P20Rik	Q8C5D3	100041574	target gene
Ebpl	Q9D0P0	68177	target gene
Ktn1	A0A087WS23	16709	target gene
Tceanc	Q3US16	245695	target gene
Gabre	O88966	-	target gene
Cadm1	Q8R5M8	54725	target gene
Myh11	A0A2R8VHF9	17880	target gene
Fubp3	A0A0A6YX76	-	target gene
Ttc3	F6XYB0	-	target gene
Zfp949	E9Q732	71640	target gene
Dnah3	Q8BW94	-	target gene
Chodl	Q9CXM0	246048	target gene
Xndc1	E9PVR2	102443350	target gene
Tmbim1	D3Z0A5	-	target gene
4930444P10Rik	F6QJK4	75799	target gene
Relch	E9QM90	227446	target gene
Anks1b	S4R2H2	-	target gene
Pthlh	Q540C1	19227	target gene
Mcm3ap	Q9WUU9	54387	target gene
Pak3	Q61036	18481	target gene
Asic5	Q9R0Y1	58170	target gene
Hrh4	Q91ZY2	225192	target gene
Zfp936	A0A0U1RPI9	-	target gene
Csmd3	Q80T79	239420	target gene
Med23	H3BLE0	-	target gene
Adamts6	A0A286YCZ1	-	target gene
Echdc3	Q9D7J9	67856	target gene
4933421I07Rik	Q9D420	71162	target gene
Ddx47	Q9CWX9	67755	target gene
Olfr1375	A0A0N4SUP0	258509	target gene
Sgo2	Q7TSY8	68549	target gene
Plekha5	A0A0N4SWF5	-	target gene
Dock2	Q8C3J5	94176	target gene
Prg3	Q9JL95	53856	target gene
Zfp386	Q3TN43	56220	target gene
Ighmbp2	D6RFT3	-	target gene
Mrpl36	Q99N90	94066	target gene
Slc31a1	Q8K211	20529	target gene
Pcbp4	A0A087WR61	-	target gene
Hyal3	Q8VEI3	109685	target gene
Rsph10b	E9PYQ0	-	target gene
Ran	P62827	19384	target gene
Ighv5-2	A0A0A6YVX8	-	target gene
Ppp4c	P97470	56420	target gene
Tmprss2	Q9JIQ8	50528	target gene
Creg2	Q8BGC9	263764	target gene
Epb41	P48193	269587	target gene
Ndufs4	A0A286YDA8	-	target gene
Ypel5	P62700	383295	target gene
Supt3	B0QZW5	-	target gene
Apobec1	P51908	11810	target gene
Arhgef28	A0A286YCY0	-	target gene
Hcrt	O55241	15171	target gene
Nkain1	Q9D035	67149	target gene
Faf2	Q3TDN2	76577	target gene
