Protein name	Uniprot ID	NCBI Gene ID	Function
ycgZ	P75991	945885	target gene
ftnA	P0A998	946410	target gene
yoaG	P64496	946314	target gene
ydhW	P77564	947180	target gene
rpsI	P0A7X3	29458256,949000	target gene
raiA	P0AD49	32213723,947129	target gene
cyoC	P0ABJ3	946897	target gene
nikB	P33591	947986	target gene
gspB	P03825	947826	target gene
fdnH	P0AAJ3	948794	target gene
prfA	P0A7I0	949002	target gene
nikR	P0A6Z6	947995	transcription factor and target gene
btsR	P0AFT5	949024	transcription factor
tdcB	P0AGF6	947633	target gene
mipA	P0A908	946301	target gene
ribA	P0A7I7	945763	target gene
ynjI	P76228	946239	target gene
ampC	P00811	948669	target gene
purF	P0AG16	946794	target gene
bioC	P12999	945388	target gene
amn	P0AE12	946508	target gene
ydeP	P77561	946055	target gene
yjeV	C1P621	7751630	target gene
rpiR	P0ACS7	948603	transcription factor and target gene
relE	P0C077	39689497,947549	transcription factor and target gene
gntP	P0AC94	948848	target gene
fdhF	P07658	948584	target gene
allB	P77671	945134	target gene
hycA	P0AEV4	947193	target gene
sgbU	P37679	948100	target gene
cydB	P0ABK2	945347	target gene
livH	P0AEX7	947965	target gene
dgkA	P0ABN1	948543	target gene
purC	P0A7D7	946957	target gene
znuC	P0A9X1	946374	target gene
rcnB	P64534	949080	target gene
melR	P0ACH8	948637	transcription factor and target gene
mazF	P0AE70	947252	transcription factor and target gene
cyoB	P0ABI8	945615	target gene
hybO	P69741	945902	target gene
fabA	P0A6Q3	945568	target gene
deoC	P0A6L0	948902	target gene
nanE	P0A761	947745	target gene
hycG	P16433	947191	target gene
pstC	P0AGH8	948238	target gene
metE	P25665	948323	target gene
nemA	P77258	946164	target gene
flxA	P77609	947392	target gene
dcuC	P0ABP3	945000	target gene
paaE	P76081	945962	target gene
agaC	P42910	947652	target gene
modE	P0A9G8	945366	transcription factor
lysP	P25737	946667	target gene
fur	P0A9A9	945295	transcription factor and target gene
aroA	P0A6D3	945528	target gene
recN	P05824	947105	target gene
hyfF	P77437	946962	target gene
phnO	P16691	948599	target gene
cvpA	P08550	945055	target gene
nirC	P0AC26	2847757	target gene
mgtS	A5A616	5061497	target gene
yciW	P76035	945859	target gene
obgE	P42641	947694	target gene
glpE	P0A6V5	947935	target gene
zraP	P0AAA9	948507	target gene
ygiC	P0ADT5	947249	target gene
fecR	P23485	949104	target gene
yhcH	P45424	947750	target gene
feoB	P33650	947919	target gene
acrF	P24181	947768	target gene
tar	P07017	946399	target gene
cusA	P38054	945191	target gene
yiaM	P37674	948093	target gene
cusR	P0ACZ8	945003	transcription factor and target gene
napC	P0ABL5	946706	target gene
ssuC	P75851	947216	target gene
asnA	P00963	13905103,948258	target gene
queA	P0A7F9	944905	target gene
yfiB	P07021	947094	target gene
sdhC	P69054	945316	target gene
setA	P31675	944793	target gene
nlpE	P40710	946782	target gene
pagP	P37001	946360	target gene
yhjC	P37641	948035	target gene
lolA	P61316	948989	target gene
nrfE	P32710	948579	target gene
metJ	P0A8U6	948435	transcription factor
mtlR	P0AF10	948116	transcription factor and target gene
allR	P0ACN4	945333	transcription factor
dhaL	P76014	945748	target gene
yncE	P76116	946006	target gene
glnD	P27249	944863	target gene
lpdA	P0A9P0	944854	target gene
hypD	P24192	947189	target gene
ilvA	P04968	948287	target gene
gspO	P25960	947840	target gene
frdC	P0A8Q0	948680	target gene
ycjX	P76046	945872	target gene
ymgA	P75992	948991	target gene
mltF	P0AGC5	947028	target gene
fliK	P52614	946449	target gene
hipA	P23874	946064	target gene
rcsA	P0DMC9	946467	target gene
ascG	P24242	947305	transcription factor
hcaB	P0CI31	945346	target gene
lsrA	P77257	945680	target gene
crl	P24251	-	target gene
umuC	P04152	946359	target gene
-	Q79CP2	-	target gene
fecI	P23484	946839	target gene
yccJ	P0AB14	948930	target gene
ydbD	P25907	945983	target gene
apaH	P05637	944770	target gene
argD	P18335	947864	target gene
sdhB	P07014	945300	target gene
malK	P68187	948537	target gene
hybB	P37180	948615	target gene
cusC	P77211	946288	target gene
ansB	P00805	947454	target gene
rseB	P0AFX9	947054	target gene
nanA	P0A6L4	947742	target gene
oppF	P77737	945818	target gene
glxK	P77364	945129	target gene
hpt	P0A9M2	946624	target gene
phnP	P16692	948600	target gene
fepG	P23877	945209	target gene
glnK	P0AC55	945087	target gene
kbl	P0AB77	948138	target gene
nrfB	P0ABL1	948573	target gene
phoP	P23836	945697	transcription factor and target gene
trpE	P00895	945846	target gene
fadI	P76503	948823	target gene
pckA	P22259	945667	target gene
araJ	P23910	949077	target gene
hns	P0ACF8	945829	transcription factor and target gene
ulaB	P69822	948716	target gene
cdd	P0ABF6	946663	target gene
pepT	P29745	946333	target gene
bglJ	P39404	948889	transcription factor and target gene
pdeF	P77172	946968	target gene
yqjA	P0AA63	947643	target gene
bglB	P11988	948234	target gene
narK	P10903	945783	target gene
yjjQ	P0ADD7	948896	transcription factor and target gene
ydiV	P76204	946217	target gene
yaiA	P0AAN5	945043	target gene
nlpA	P04846	948175	target gene
gspL	P45763	947842	target gene
soxS	P0A9E2	948567	transcription factor and target gene
torD	P36662	945625	target gene
idnR	P39343	949058	transcription factor and target gene
dcuA	P0ABN5	948659	target gene
qseC	P40719	947174	target gene
agaV	P42904	947648	target gene
ydfW	P76164	-	target gene
yjhB	P39352	948807	target gene
ftsW	P0ABG4	946322	target gene
fliA	P0AEM6	948824	target gene
glmU	P0ACC7	948246	target gene
cusS	P77485	945978	target gene
ydhU	P77409	945608	target gene
dapB	P04036	944762	target gene
tehB	P25397	945979	target gene
sufD	P77689	944878	target gene
hyaA	P69739	945579	target gene
ugpE	P10906	947959	target gene
gloA	P0AC81	946161	target gene
rpiB	P37351	948602	target gene
codA	P25524	944996	target gene
thrS	P0A8M3	946222	target gene
idnO	P0A9P9	947109	target gene
yqjH	Q46871	947582	target gene
hdeB	P0AET2	948026	target gene
agp	P19926	945773	target gene
caiT	P31553	944765	target gene
atoA	P76459	946719	target gene
cysN	P23845	947219	target gene
sucA	P0AFG3	945303	target gene
rtcA	P46849	2847707	target gene
bcsB	P37652	948045	target gene
yiaL	P37673	948094	target gene
rimP	P0A8A8	947680	target gene
frc	P69902	946842	target gene
ymjC	Q2EER5	-	target gene
fdnI	P0AEK7	946038	target gene
lldD	P33232	948121	target gene
cheZ	P0A9H9	946392	target gene
fadH	P42593	947594	target gene
dcuB	P0ABN9	948641	target gene
cynR	P27111	945001	transcription factor and target gene
tnaA	P0A853	948221	target gene
hisP	P07109	946789	target gene
ulaC	P69820	948715	target gene
dicA	P06966	946241	transcription factor
dppC	P0AEG1	948064	target gene
yjhC	P39353	948808	target gene
yfaE	P0ABW3	946729	target gene
cbpA	P36659	947572	target gene
nrfA	P0ABK9	948571	target gene
hisJ	P0AEU0	945309	target gene
ubiA	P0AGK1	948540	target gene
recD	P04993	947287	target gene
cysW	P0AEB0	2847743	target gene
uidC	Q47706	944820	target gene
ebgR	P06846	947586	transcription factor
lsrG	P64461	946073	target gene
mglC	P23200	949039	target gene
emrY	P52600	946835	target gene
dctA	P0A830	948039	target gene
metAS	P07623	948513	target gene
dinI	P0ABR1	945022	target gene
sdhA	P0AC41	945402	target gene
rpsU	P68679	947577,9732014	target gene
rpoS	P13445	947210	target gene
uhpT	P0AGC0	948201	target gene
rplB	P60422	29456695,947820	target gene
psiF	P0AFM4	945040	target gene
fecA	P13036	946427	target gene
ygiZ	Q46867	946450	target gene
glcC	P0ACL5	947466	transcription factor and target gene
tyrB	P04693	948563	target gene
glaH	P76621	948076	target gene
garK	P23524	947632	target gene
ydbK	P52647	946587	target gene
rhaB	P32171	948399	target gene
alsB	P39265	948604	target gene
sucD	P0AGE9	945314	target gene
chiA	P13656	947837	target gene
moaA	P30745	945392	target gene
casB	P76632	947223	target gene
yegR	P76406	946613	target gene
argH	P11447	948463	target gene
tauC	Q47539	945026	target gene
nadA	P11458	945351	target gene
sufS	P77444	946185	target gene
ascB	P24240	947460	target gene
mntP	P76264	946341	target gene
dcuS	P0AEC8	948639	target gene
gcvH	P0A6T9	947393	target gene
dinD	P23840	948153	target gene
trpC	P00909	945519	target gene
hdfR	P0A8R9	2847698	transcription factor and target gene
ydcV	P0AFR9	945903	target gene
fliE	P0A8T5	946446	target gene
mpl	P37773	948752	target gene
rsmA	P06992	944939	target gene
paaI	P76084	945265	target gene
napF	P0AAL0	946813	target gene
ampD	P13016	948877	target gene
potH	P31135	945475	target gene
cynS	P00816	948998	target gene
phnM	P16689	948613	target gene
ycjF	P0A8R7	945878	target gene
lpxC	P0A725	944816	target gene
csgF	P0AE98	945622	target gene
tpx	P0A862	945880	target gene
pitB	P43676	947475	target gene
arfB	P40711	946046	target gene
comR	P75952	947425	transcription factor and target gene
grxA	P68688	945479	target gene
znuA	P39172	946375	target gene
appY	P05052	948797	transcription factor and target gene
uxaC	P0A8G3	947599	target gene
cadA	P0A9H3	948643	target gene
rplP	P0ADY7	947806	target gene
rhaD	P32169	948401	target gene
ydfE	Q47138	-	target gene
tdcC	P0AAD8	947629	target gene
trpR	P0A881	948917	transcription factor and target gene
proP	P0C0L7	948626	target gene
tadA	P68398	947027	target gene
fhlA	P19323	947181	transcription factor and target gene
yiaJ	P37671	948084	transcription factor and target gene
chiQ	P75734	945713	target gene
rclB	P75687	945658	target gene
paaH	P76083	945940	target gene
nadR	P27278	948911	transcription factor
deoD	P0ABP8	945654	target gene
lsrK	P77432	946069	target gene
rhaS	P09377	948397	transcription factor and target gene
nanS	P39370	948835	target gene
fucR	P0ACK8	946905	transcription factor and target gene
rplS	P0A7K6	947096	target gene
mhpD	P77608	944768	target gene
edd	P0ADF6	946362	target gene
nupG	P0AFF4	946282	target gene
gltD	P09832	947723	target gene
flgM	P0AEM4	946684	target gene
msrA	P0A744	948734	target gene
csgE	P0AE95	945711	target gene
casC	Q46899	947224	target gene
yrbL	P64610	947910	target gene
wecA	P0AC78	948789	target gene
ydeO	P76135	945922	transcription factor and target gene
ilvN	P0ADF8	948183	target gene
pgaD	P69432	947503	target gene
cmoM	P36566	945547	target gene
xdhB	Q46800	947205	target gene
glgX	P15067	947941	target gene
phoH	P0A9K1	948010	target gene
metL	P00562	948433	target gene
tap	P07018	946397	target gene
cpxA	P0AE82	948405	target gene
potF	P31133	945480	target gene
flhD	P0A8S9	945442	target gene
xylF	P37387	948090	target gene
aaaT	P46854	947943	target gene
ydjM	P64481	945644	target gene
gutM	P15081	948938	transcription factor and target gene
iraD	P39375	948851	target gene
hyfH	P77423	946965	target gene
truB	P60340	947687	target gene
aldA	P25553	945672	target gene
hypE	P24193	947182	target gene
trxA	P0AA25	23335415,948289	target gene
hofP	P45750	947900	target gene
nikE	P33594	947987	target gene
nfsA	P17117	945483	target gene
ykiA	P75704	-	target gene
dkgB	P30863	944901	target gene
glyA	P0A825	947022	target gene
nanK	P45425	947757	target gene
ynbA	P76090	945973	target gene
sgrT	C1P5Z7	7751624	target gene
yeiB	P25747	949044	target gene
gspA	P45756	947825	target gene
hofO	P45751	947899	target gene
aslB	P25550	949013	target gene
moaE	P30749	945399	target gene
crp	P0ACJ8	33939152,947867	transcription factor and target gene
hybE	P0AAN1	947483	target gene
ftsA	P0ABH0	944778	target gene
murG	P17443	946321	target gene
deoR	P0ACK5	945453	transcription factor
nadC	P30011	948869	target gene
ssuD	P80645	945557	target gene
tomB	P0AAR0	945106	target gene
fldA	P61949	945293	target gene
dppD	P0AAG0	948065	target gene
xylA	P00944	948141	target gene
prpD	P77243	945931	target gene
cysC	P0A6J1	947221	target gene
nupC	P0AFF2	946895	target gene
fixB	P31574	948939	target gene
ddpD	P77268	946002	target gene
hypA	P0A700	947195	target gene
fimH	P08191	948847	target gene
narX	P0AFA2	945788	target gene
feaB	P80668	945933	target gene
ilvL	P62522	34153124,948283	target gene
hyfA	P23481	946959	target gene
paaG	P77467	946263	target gene
ahpC	P0AE08	945225	target gene
ybiT	P0A9U3	945440	target gene
sufB	P77522	945753	target gene
leuB	P30125	944798	target gene
cpxP	P0AE85	2847688	target gene
hycI	P0AEV9	947428	target gene
rarA	P0AAZ4	945505	target gene
alkB	P05050	946708	target gene
phoE	P02932	944926	target gene
fis	P0A6R3	8911232,947697	transcription factor and target gene
speA	P21170	947432	target gene
pgpC	P0AD42	947026	target gene
fimF	P08189	948845	target gene
ynfF	P77783	945268	target gene
envY	P10805	949114	transcription factor
hcp	P75825	946592	target gene
metR	P0A9F9	948310	transcription factor and target gene
oxyR	P0ACQ4	948462	transcription factor and target gene
dcuD	P45428	946575	target gene
ydfX	P76165	-	target gene
ychF	P0ABU2	945769	target gene
ompF	P02931	945554	target gene
napD	P0A9I5	945187	target gene
narL	P0AF28	945795	transcription factor and target gene
idnT	P39344	948798	target gene
glsA1	P77454	946187	target gene
yidQ	P0ADM4	948199	target gene
udp	P12758	948987	target gene
dhaR	P76016	945743	transcription factor and target gene
hycB	P0AAK1	948002	target gene
cynX	P17583	946770	target gene
lsrF	P76143	946071	target gene
paaB	P76078	947595	target gene
rutE	P75894	946591	target gene
luxS	P45578	947168	target gene
glpX	P0A9C9	948424	target gene
leuD	P30126	945642	target gene
trmD	P0A873	947099	target gene
cysI	P17846	947231	target gene
emrK	P52599	946840	target gene
citC	P77390	945231	target gene
ulaA	P39301	948717	target gene
entF	P11454	945184	target gene
malT	P06993	947921	transcription factor and target gene
rclR	P77379	945616	transcription factor
ung	P12295	947067	target gene
glnG	P0AFB8	948361	transcription factor and target gene
uvrD	P03018	948347	target gene
mhpE	P51020	945012	target gene
thiB	P31550	946306	target gene
fadL	P10384	946820	target gene
yciF	P21362	947133	target gene
rimM	P0A7X6	947101	target gene
fepD	P23876	945214	target gene
puuB	P37906	945072	target gene
slp	P37194	948022	target gene
prmC	P0ACC1	945779	target gene
tsx	P0A927	946242	target gene
rnlA	P52129	947107	target gene
ariR	P75993	945340	target gene
ompR	P0AA16	8912757,947913	transcription factor and target gene
kdpB	P03960	947450	target gene
chbA	P69791	946244	target gene
trpL	P0AD92	945856	target gene
citE	P0A9I1	945406	target gene
pgrR	P77333	945930	transcription factor
glcE	P52073	2847718	target gene
dkgA	Q46857	947495	target gene
phoU	P0A9K7	948233	target gene
zntR	P0ACS5	947786	transcription factor
aldB	P37685	948104	target gene
phnG	P16685	948618	target gene
nohA	P31061	-	target gene
nuoN	P0AFF0	945136	target gene
pgaB	P75906	945604	target gene
araC	P0A9E0	944780	transcription factor and target gene
agaI	P42912	947985	target gene
glpK	P0A6F3	948423	target gene
dpiA	P0AEF4	947008	transcription factor and target gene
norW	P37596	947088	target gene
gltF	P28721	947746	target gene
aaeX	P46478	947751	target gene
pheS	P08312	946223	target gene
baeS	P30847	946611	target gene
narQ	P27896	946948	target gene
fumB	P14407	948642	target gene
dppA	P23847	948062	target gene
osmB	P0ADA7	945866	target gene
arsC	P0AB96	948018	target gene
srlA	P56579	947575	target gene
skp	P0AEU7	944861	target gene
fabG	P0AEK2	945645	target gene
ybjC	P46119	945481	target gene
speB	P60651	947715	target gene
hokD	P0ACG6	948616	target gene
hybD	P37182	948982	target gene
glpQ	P09394	946725	target gene
fabR	P0ACU5	948460	transcription factor
aidB	P33224	948710	transcription factor and target gene
mcbR	P76114	946014	transcription factor
argC	P11446	948455	target gene
frdB	P0AC47	948666	target gene
rbfA	P0A7G2	947685	target gene
yhiD	P0AFV2	948019	target gene
ygbT	Q46896	947228	target gene
dapD	P0A9D8	944862	target gene
rtcB	P46850	947929	target gene
proX	P0AFM2	947165	target gene
potG	P31134	945476	target gene
csiE	P54901	947009	target gene
yagK	P77657	945847	target gene
entB	P0ADI4	946178	target gene
rpmC	P0A7M6	947807	target gene
glgS	P26649	39538031,947533	target gene
znuB	P39832	946372	target gene
bioB	P12996	945370	target gene
nikC	P0AFA9	947990	target gene
lsrB	P76142	945418	target gene
tufB	P0CE48	948482	target gene
stpA	P0ACG1	947130	transcription factor and target gene
apaG	P62672	944772	target gene
cyoE	P0AEA5	945073	target gene
ycjY	P76049	945988	target gene
acrZ	P0AAW9	945365	target gene
purR	P0ACP7	945226	transcription factor and target gene
mhpC	P77044	944954	target gene
thiQ	P31548	944785	target gene
sgrR	P33595	944788	transcription factor and target gene
fabI	P0AEK4	945870	target gene
bdcA	P39333	948765	target gene
ykgO	Q2EEQ2	1450238	target gene
hycH	P0AEV7	947438	target gene
ubiC	P26602	948545	target gene
aroL	P0A6E1	945031	target gene
fnr	P0A9E5	945908	transcription factor and target gene
ptsH	P0AA04	34152663,946886	target gene
lysA	P00861	947313	target gene
mdh	P61889	947854	target gene
bioA	P12995	945376	target gene
zraS	P14377	948506	target gene
mglA	P0AAG8	949036	target gene
polB	P21189	944779	target gene
yiaN	P37675	948092	target gene
fepA	P05825	945193	target gene
dicB	P09557	946110	target gene
nrfG	P32712	948592	target gene
tnaB	P23173	948220	target gene
yibQ	P37691	948128	target gene
yhjX	P37662	948066	target gene
lhgD	P37339	948069	target gene
pspF	P37344	945683	transcription factor and target gene
malY	P23256	945937	target gene
ynfE	P77374	946135	target gene
sbcD	P0AG76	945049	target gene
hofB	P36645	947481	target gene
fiu	P75780	946246	target gene
glcD	P0AEP9	947353	target gene
tyrR	P07604	945879	transcription factor and target gene
prpB	P77541	944990	target gene
soxR	P0ACS2	948566	transcription factor and target gene
galE	P09147	945354	target gene
pgaA	P69434	945596	target gene
hlyE	P77335	945745	target gene
mtlA	P00550	948118	target gene
nagA	P0AF18	945289	target gene
ccmC	P0ABM1	946703	target gene
fimG	P08190	948846	target gene
rcsD	P39838	946717	target gene
pgi	P0A6T1	948535	target gene
marR	P27245	945825	transcription factor and target gene
asr	P36560	945103	target gene
fecE	P15031	948819	target gene
gntU	P0AC96	2847760	target gene
trg	P05704	945995	target gene
uvrY	P0AED5	946424	transcription factor and target gene
rffG	P27830	948300	target gene
artJ	P30860	948981	target gene
hemH	P23871	947532	target gene
modB	P0AF01	945361	target gene
puuA	P78061	946202	target gene
nirD	P0A9I8	947881	target gene
ivbL	P03061	948181	target gene
sulA	P0AFZ5	947335	target gene
argB	P0A6C8	948464	target gene
agaD	P42911	947649	target gene
uxuA	P24215	947082	target gene
aceE	P0AFG8	944834	target gene
fdnG	P24183	946035	target gene
mntS	P0DKB3	14678509	target gene
betB	P17445	947376	target gene
stfQ	P77515	946098	target gene
leuO	P10151	949034	transcription factor and target gene
accA	P0ABD5	944895	target gene
pncB	P18133	946648	target gene
lldP	P33231	948114	target gene
mukE	P22524	945550	target gene
glpF	P0AER0	948422	target gene
moaB	P0AEZ9	945396	target gene
kdpC	P03961	947508	target gene
yhdW	P45766	-	target gene
hyfR	P71229	948886	transcription factor and target gene
yhdZ	P45769	947763	target gene
fldB	P0ABY4	947361	target gene
yhbS	P63417	947670	target gene
rplI	P0A7R1	948720	target gene
napA	P33937	947093	target gene
talA	P0A867	947006	target gene
cheY	P0AE67	946393	target gene
oppD	P76027	945802	target gene
uxuB	P39160	946795	target gene
yefM	P69346	946542	transcription factor and target gene
gudP	Q46916	947265	target gene
nuoE	P0AFD1	946746	target gene
ymiA	P0CB62	1450256	target gene
accD	P0A9Q5	946796	target gene
livK	P04816	947964	target gene
puuE	P50457	945446	target gene
mntH	P0A769	946899	target gene
yafO	Q47157	944916	target gene
sbcC	P13458	949076	target gene
norV	Q46877	948979	target gene
aroP	P15993	946018	target gene
ssuB	P0AAI1	947220	target gene
yeaD	P39173	946572	target gene
cyoD	P0ABJ6	944918	target gene
hyfJ	P77453	947713	target gene
fliG	P0ABZ1	946451	target gene
ampE	P0AE14	946678	target gene
cysH	P17854	947230	target gene
ulaF	P39306	948711	target gene
ybaT	P77400	945363	target gene
yecR	P76308	946386	target gene
ydeN	P77318	945957	target gene
artQ	P0AE34	949046	target gene
gor	P06715	948014	target gene
nagB	P0A759	945290	target gene
kdpE	P21866	945302	transcription factor
dinB	Q47155	944922	target gene
nrdA	P00452	946612	target gene
pgaC	P75905	945606	target gene
ybdZ	P18393	1450243	target gene
ppdD	P36647	945817	target gene
pheM	P0AD74	947212	target gene
uraA	P0AGM7	946978	target gene
glcB	P37330	948857	target gene
argA	P0A6C5	947289	target gene
ygaC	P0AD53	947156	target gene
leuA	P09151	947465	target gene
araH	P0AE26	948923	target gene
fadA	P21151	948324	target gene
idnK	P39208	946066	target gene
ftsQ	P06136	944823	target gene
astC	P77581	946255	target gene
betT	P0ABC9	945079	target gene
dppF	P37313	948056	target gene
tfaQ	P76155	946060	target gene
nusA	P0AFF6	947682	target gene
patZ	P76594	947056	target gene
fliJ	P52613	946454	target gene
mntR	P0A9F1	945437	transcription factor
caiC	P31552	944886	target gene
ndh	P00393	946792	target gene
emrB	P0AEJ0	947167	target gene
adiA	P28629	948638	target gene
caiE	P39206	948999	target gene
yiaO	P37676	948091	target gene
citX	P0A6G5	949084	target gene
nrdH	P0AC65	947161	target gene
srlR	P15082	948942	transcription factor and target gene
yiiS	P32162	948416	target gene
narI	P11350	945808	target gene
rpsC	P0A7V3	35808224,947814	target gene
chbG	P37794	946231	target gene
bluF	P75990	947592	target gene
mhpB	P0ABR9	945047	target gene
dsdX	P08555	949103	target gene
evgA	P0ACZ4	946841	transcription factor and target gene
garL	P23522	947630	target gene
rcnR	P64530	947114	transcription factor and target gene
yhdY	P45768	947764	target gene
ppc	P00864	948457	target gene
ugpA	P10905	947957	target gene
ygbF	P45956	947213	target gene
fliC	P04949	949101	target gene
acnA	P25516	946724	target gene
malQ	P15977	947923	target gene
fimE	P0ADH7	948836	target gene
leuC	P0A6A6	945076	target gene
amtB	P69681	945084	target gene
allD	P77555	948342	target gene
sodB	P0AGD3	944953	target gene
focB	P77733	949032	target gene
nhaR	P0A9G2	944757	transcription factor and target gene
yjcH	P0AF54	948574	target gene
dusB	P0ABT5	947707	target gene
caiB	P31572	948997	target gene
ilvE	P0AB80	948278	target gene
btuB	P06129	948468	target gene
ulaG	P39300	948705	target gene
gatA	P69828	946633	target gene
csgB	P0ABK7	947391	target gene
iscS	P0A6B7	947004	target gene
dcuR	P0AD01	948640	transcription factor and target gene
recB	P08394	947286	target gene
dsbA	P0AEG4	948353	target gene
ptrA	P05458	947284	target gene
hypB	P0AAN3	947194	target gene
rpsF	P02358	948723	target gene
gcvP	P33195	947394	target gene
iscA	P0AAC8	946999	target gene
puuC	P23883	947003	target gene
hemL	P23893	946892	target gene
wecB	P27828	944789	target gene
srlD	P05707	948937	target gene
hdeA	P0AES9	948025	target gene
uxaB	P0A6L7	945542	target gene
copA	Q59385	946106	target gene
mtr	P0AAD2	947675	target gene
mglB	P0AEE5	949041	target gene
glrR	P0AFU4	947042	transcription factor
ftsK	P46889	945102	target gene
osmC	P0C0L2	946043	target gene
accB	P0ABD8	947758	target gene
uidB	P0CE44	947484	target gene
pstB	P0AAH0	948240	target gene
yebE	P33218	946355	target gene
galR	P03024	947314	transcription factor and target gene
sufC	P77499	946128	target gene
sfsB	P0ACH1	947960	target gene
bcsZ	P37651	948046	target gene
aer	P50466	945301	target gene
citF	P75726	945230	target gene
narP	P31802	949081	transcription factor
creB	P08368	948922	transcription factor
metF	P0AEZ1	948432	target gene
pfkA	P0A796	948412	target gene
uidA	P05804	946149	target gene
rutD	P75895	946586	target gene
aceA	P0A9G6	948517	target gene
nfuA	P63020	947925	target gene
dmsD	P69853	945987	target gene
arsR	P37309	948013	transcription factor and target gene
cydC	P23886	945504	target gene
srkA	P0C0K3	948346	target gene
fhuA	P06971	944856	target gene
yaeQ	P0AA97	946809	target gene
xdhC	Q46801	945148	target gene
glgP	P0AC86	947931	target gene
ompA	P0A910	945571	target gene
astD	P76217	946260	target gene
chbF	P17411	946266	target gene
fliF	P25798	946448	target gene
gabT	P22256	948067	target gene
alaS	P00957	947175	transcription factor and target gene
yeiP	P0A6N8	946674	target gene
malI	P18811	947104	transcription factor and target gene
symE	P39394	949088	target gene
hyfI	P77668	946966	target gene
ptsG	P69786	945651	target gene
nac	Q47005	946501	transcription factor and target gene
dadA	P0A6J5	945752	target gene
mzrA	P42615	947619	target gene
nanM	P39371	949106	target gene
ilvX	C1P619	7751639	target gene
flu	P39180	946540	target gene
galM	P0A9C3	944943	target gene
dnaG	P0ABS5	947570	target gene
allE	P75713	945149	target gene
dksA	P0ABS1	29459173,944850	target gene
zraR	P14375	948505	transcription factor and target gene
hyaC	P0AAM1	945581	target gene
manY	P69801	946332	target gene
csgA	P28307	949055	target gene
cysM	P16703	946888	target gene
feoA	P0AEL3	947909	target gene
rcnA	P76425	949078	target gene
proV	P14175	947148	target gene
envR	P0ACT2	947704	transcription factor
betA	P17444	945716	target gene
rutG	P75892	946589	target gene
glnL	P0AFB5	948360	target gene
pyrC	P05020	945787	target gene
infC	P0A707	946225	target gene
lexA	P0A7C2	948544	transcription factor and target gene
lacI	P03023	945007	transcription factor and target gene
mngR	P13669	945371	transcription factor and target gene
ccmH	P0ABM9	946623	target gene
yccA	P0AAC6	946016	target gene
fbaA	P0AB71	947415	target gene
sdiA	P07026	946421	transcription factor
cspA	P0A9X9	32213729,948070	transcription factor and target gene
phnD	P16682	948624	target gene
hdeD	P0AET5	948024	target gene
gadA	P69908	948027	target gene
bamE	P0A937	945583	target gene
csgC	P52107	945623	target gene
dmsC	P18777	945502	target gene
ogt	P0AFH0	945853	target gene
ybbW	P75712	945138	target gene
ygeA	P03813	947348	target gene
dacC	P08506	945455	target gene
ykgR	C1P5Z8	7751635	target gene
tdcR	P11866	944907	transcription factor
chbR	P17410	946247	transcription factor and target gene
nuoI	P0AFD6	946757	target gene
