Blnk,Q9QUN3,17060,target gene,Mus musculus
Gm11273,Q9D881,12859,target gene,Mus musculus
Svs6,Q9D268,20945,target gene,Mus musculus
Slc25a4,P48962,11739,target gene,Mus musculus
Crisp1,Q03401,11571,target gene,Mus musculus
Cd3e,P22646,12501,target gene,Mus musculus
Slc22a17,Q9D9E0,59049,target gene,Mus musculus
Rax,O35602,19434,transcription factor,Mus musculus
Smtnl1,Q99LM3,68678,target gene,Mus musculus
Prdm13,E9PZZ1,230025,transcription factor,Mus musculus
Itgam,G5E8F1,16409,target gene,Mus musculus
Acta1,P68134,11459,target gene,Mus musculus
Tax1bp3,Q9DBG9,76281,transcription factor,Mus musculus
Rif1,Q6PR54,51869,target gene,Mus musculus
Vsx2,Q61412,12677,transcription factor,Mus musculus
Ncoa4,E9PVM8,-,transcription factor,Mus musculus
Lmo7,E9PYI7,380928,transcription factor,Mus musculus
Vcam1,P29533,-,target gene,Mus musculus
Insm1,Q63ZV0,53626,transcription factor,Mus musculus
Tlx2,Q61663,21909,target gene,Mus musculus
Gabra6,P16305,14399,target gene,Mus musculus
Muc2,Q80Z19,-,target gene,Mus musculus
Hsd17b2,P51658,15486,target gene,Mus musculus
Ppara,P23204,19013,transcription factor,Mus musculus
Myoz2,Q9JJW5,59006,target gene,Mus musculus
Tns1,A0A087WQS0,21961,target gene,Mus musculus
Ruvbl2,Q9WTM5,20174,transcription factor,Mus musculus
Ostn,P61364,239790,target gene,Mus musculus
Satb1,Q60611,20230,transcription factor,Mus musculus
Sgcg,P82348,24053,target gene,Mus musculus
Barx2,O08686,12023,transcription factor,Mus musculus
Myc,P01108,17869,transcription factor,Mus musculus
Fli1,P26323,14247,transcription factor,Mus musculus
Casp4,P70343,12363,target gene,Mus musculus
Ebna1bp2,Q9D903,69072,target gene,Mus musculus
Lhx2,Q9Z0S2,16870,transcription factor,Mus musculus
Sirt6,P59941,50721,target gene,Mus musculus
Pura,P42669,19290,transcription factor,Mus musculus
Kitlg,P20826,17311,target gene,Mus musculus
Trim11,Q99PQ2,94091,target gene,Mus musculus
Angptl4,Q9Z1P8,57875,target gene,Mus musculus
Gal3st1,Q9JHE4,53897,target gene,Mus musculus
Fgf3,P05524,-,target gene,Mus musculus
Nes,Q6P5H2,18008,target gene,Mus musculus
Abcb11,Q9QY30,27413,target gene,Mus musculus
Pf4,Q9Z126,56744,target gene,Mus musculus
Ccng1,P51945,12450,target gene,Mus musculus
Foxo4,Q9WVH3,54601,transcription factor,Mus musculus
Etv6,P97360,14011,transcription factor,Mus musculus
Phlpp1,Q8CHE4,98432,target gene,Mus musculus
Cdkn2d,Q60773,12581,target gene,Mus musculus
Arl14,S4R1T9,71619,target gene,Mus musculus
Rnf2,Q9CQJ4,19821,transcription factor,Mus musculus
Bmpr2,O35607,12168,target gene,Mus musculus
Alx3,O70137,11694,target gene,Mus musculus
Lmo7,E9PYF4,380928,transcription factor,Mus musculus
Myom1,Q62234,17929,target gene,Mus musculus
Il2ra,P01590,16184,target gene,Mus musculus
Ubc,P0CG50,22190,target gene,Mus musculus
Aip,O08915,11632,target gene,Mus musculus
Ppargc1b,Q8VHJ7,170826,transcription factor,Mus musculus
Slc15a1,Q9JIP7,56643,target gene,Mus musculus
Muc1,Q02496,17829,target gene,Mus musculus
Prnp,P04925,19122,target gene,Mus musculus
Tns1,A0A087WRZ8,-,target gene,Mus musculus
Nrf1,Q9WU00,18181,transcription factor,Mus musculus
Ptgds,O09114,19215,target gene,Mus musculus
Tnfrsf4,P47741,22163,target gene,Mus musculus
Slc19a2,Q9EQN9,116914,target gene,Mus musculus
Nlrp2,A0A140LHK4,-,target gene,Mus musculus
Sh3gl1,Q62419,20405,target gene,Mus musculus
Mef2d,Q63943,17261,transcription factor,Mus musculus
Uhrf1bp1,Q3UNI3,-,target gene,Mus musculus
Rnls,A7RDN6,67795,target gene,Mus musculus
Jund,P15066,16478,transcription factor,Mus musculus
Egr1,P08046,13653,transcription factor,Mus musculus
Ube2h,P62257,22214,target gene,Mus musculus
Dpp6,Q9Z218,13483,target gene,Mus musculus
Cux1,P53564,13047,transcription factor,Mus musculus
Cxcl13,O55038,55985,target gene,Mus musculus
Fcer2,P20693,14128,target gene,Mus musculus
Pltp,P55065,18830,target gene,Mus musculus
Tal2,Q62282,21350,target gene,Mus musculus
Col11a2,Q64739,12815,target gene,Mus musculus
Sqle,P52019,20775,target gene,Mus musculus
Slc16a4,Q8R0M8,229699,target gene,Mus musculus
Tbx18,Q9EPZ6,76365,transcription factor,Mus musculus
Kcnn4,O89109,16534,target gene,Mus musculus
Bmp5,P49003,12160,target gene,Mus musculus
Rnf144a,Q925F3,108089,target gene,Mus musculus
Pdzk1ip1,Q9CQH0,67182,target gene,Mus musculus
Cox4i1,P19783,12857,target gene,Mus musculus
Mcm3,P25206,17215,transcription factor,Mus musculus
Zfp157,Q6PCM4,72154,target gene,Mus musculus
Utrn,Q6P6L2,22288,target gene,Mus musculus
Mxd1,P50538,-,transcription factor,Mus musculus
Ccne1,Q61457,12447,target gene,Mus musculus
F3,P20352,14066,target gene,Mus musculus
Il4,P07750,16189,transcription factor,Mus musculus
Slurp1,Q9Z0K7,57277,target gene,Mus musculus
Mgst1,Q91VS7,56615,target gene,Mus musculus
Hfe,P70387,15216,target gene,Mus musculus
Hamp,Q9EQ21,84506,target gene,Mus musculus
Smarce1,O54941,57376,transcription factor,Mus musculus
Duox2,B7ZWM4,-,target gene,Mus musculus
Maoa,Q64133,17161,target gene,Mus musculus
Ern1,Q9EQY0,78943,target gene,Mus musculus
Lrp1,Q91ZX7,16971,target gene,Mus musculus
Tial1,P70318,21843,transcription factor,Mus musculus
Fst,P47931,14313,target gene,Mus musculus
